1|1|https://www.civitatis.com/f/alemania/berlin/free-tour-berlin-r32.jpg
2|1|https://www.iesabroad.org/sites/default/files/blog/images/dchait%40pugetsound.edu/2018-04-12/img_2599.jpg
3|1|https://tourscanner.com/blog/wp-content/uploads/2020/06/Essential-Free-Walking-Tour-of-Berlin.jpg
4|2|https://strawberrytours.com/wp-content/uploads/2019/09/paris-eiffel-1.jpg
5|2|https://thebettervacation.com/wp-content/uploads/2021/06/Louvre-Museum-Paris-1200x900.jpg
6|2|https://cdn.audleytravel.com/5234/3740/79/1337479-arc-de-triomphe-paris.jpg
7|3|https://cdn.audleytravel.com/5234/3740/79/1337479-arc-de-triomphe-paris.jpg
8|4|https://cdn.audleytravel.com/5234/3740/79/1337479-arc-de-triomphe-paris.jpg
9|5|https://cdn.audleytravel.com/5234/3740/79/1337479-arc-de-triomphe-paris.jpg
10|6|https://cdn.audleytravel.com/5234/3740/79/1337479-arc-de-triomphe-paris.jpg
11|6|bf
12|7|vdscsds
13|8|zxc
14|11|kk
